Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-64555,WR,Calvin,Calvin Ridley,Ridley,10.01176453,17,5700,TEN@DEN,TEN,DEN,Q,General soreness,,,,WR/FLEX
119110-87787,RB,J.K.,J.K. Dobbins,Dobbins,13.17142814,14,5700,TEN@DEN,DEN,TEN,,,,,,RB/FLEX
119110-184184,WR,Travis,Travis Hunter,Hunter,,0,5700,CAR@JAC,JAC,CAR,Q,Upper body,,,,WR/FLEX
119110-110484,RB,RJ,RJ Harvey,Harvey,,0,5700,TEN@DEN,DEN,TEN,,,,,,RB/FLEX
119110-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.63333384,6,5600,ARI@NO,NO,ARI,,,,,,WR/FLEX
119110-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,,0,5600,CAR@JAC,CAR,JAC,Q,Hamstring,,,,WR/FLEX
119110-107293,RB,Tyjae,Tyjae Spears,Spears,7.584615267,13,5600,TEN@DEN,TEN,DEN,Q,Ankle,,,,RB/FLEX
119110-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,10.82666626,15,5600,LV@NE,NE,LV,Q,Undisclosed,,,,RB/FLEX
119110-112057,RB,Jaylen,Jaylen Warren,Warren,6.849999905,16,5500,PIT@NYJ,PIT,NYJ,,,,,,RB/FLEX
119110-90573,WR,Jaylen,Jaylen Waddle,Waddle,8.439999898,15,5500,MIA@IND,MIA,IND,,,,,,WR/FLEX
119110-39716,WR,Adam,Adam Thielen,Thielen,12.15,10,5500,CAR@JAC,CAR,JAC,,,,,,WR/FLEX
119110-168916,RB,Kaleb,Kaleb Johnson,Johnson,,0,5500,PIT@NYJ,PIT,NYJ,,,,,,RB/FLEX
119110-166916,WR,Matthew,Matthew Golden,Golden,,0,5400,DET@GB,GB,DET,,,,,,WR/FLEX
119110-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,6.572222392,18,5400,TEN@DEN,DEN,TEN,,,,,,WR/FLEX
119110-53562,RB,Nick,Nick Chubb,Chubb,7.599999905,8,5400,HOU@LAR,HOU,LAR,,,,,,RB/FLEX
119110-48116,TE,Jonnu,Jonnu Smith,Smith,10.84117665,17,5400,PIT@NYJ,PIT,NYJ,Q,Knee,,,,TE/FLEX
119110-120042,WR,Jalen,Jalen McMillan,McMillan,8.714285714,14,5300,TB@ATL,TB,ATL,D,Neck,,,,WR/FLEX
119110-102796,WR,Ricky,Ricky Pearsall,Pearsall,7.363636364,11,5300,SF@SEA,SF,SEA,,,,,,WR/FLEX
119110-72297,RB,Rico,Rico Dowdle,Dowdle,11.89375019,16,5300,CAR@JAC,CAR,JAC,,,,,,RB/FLEX
119110-128693,RB,Tank,Tank Bigsby,Bigsby,8.766666667,15,5300,CAR@JAC,JAC,CAR,,,,,,RB/FLEX
119110-41872,TE,Evan,Evan Engram,Engram,7.666666667,9,5300,TEN@DEN,DEN,TEN,,,,,,TE/FLEX
119110-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,6.335293938,17,5200,TB@ATL,ATL,TB,,,,,,TE/FLEX
119110-80001,RB,Austin,Austin Ekeler,Ekeler,9.07333374,15,5200,NYG@WAS,WAS,NYG,,,,,,RB/FLEX
119110-94370,WR,Romeo,Romeo Doubs,Doubs,7.957142966,14,5200,DET@GB,GB,DET,,,,,,WR/FLEX
119110-129305,WR,Josh,Josh Downs,Downs,10.75,14,5200,MIA@IND,IND,MIA,Q,Hamstring,,,,WR/FLEX
119110-60858,WR,Christian,Christian Kirk,Kirk,7.175000191,8,5200,HOU@LAR,HOU,LAR,,,,,,WR/FLEX
119110-160303,TE,Tucker,Tucker Kraft,Kraft,8.022221883,18,5200,DET@GB,GB,DET,,,,,,TE/FLEX
119110-29780,TE,Zach,Zach Ertz,Ertz,8.894999695,20,5100,NYG@WAS,WAS,NYG,,,,,,TE/FLEX
119110-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,8.011764526,17,5100,NYG@WAS,NYG,WAS,,,,,,WR/FLEX
119110-86312,WR,Alec,Alec Pierce,Pierce,9.493749619,16,5100,MIA@IND,IND,MIA,,,,,,WR/FLEX
119110-137530,TE,Tyler,Tyler Warren,Warren,,0,5100,MIA@IND,IND,MIA,,,,,,TE/FLEX
119110-137902,RB,Rachaad,Rachaad White,White,11.03750038,16,5100,TB@ATL,TB,ATL,Q,Groin,,,,RB/FLEX
119110-158412,RB,Braelon,Braelon Allen,Allen,4.452940997,17,5100,PIT@NYJ,NYJ,PIT,,,,,,RB/FLEX
119110-90870,WR,Calvin,Calvin Austin III,Austin III,5.766666836,18,5100,PIT@NYJ,PIT,NYJ,Q,Abdomen,,,,WR/FLEX
119110-56248,WR,Noah,Noah Brown,Brown,6.254545732,11,5100,NYG@WAS,WAS,NYG,Q,Undisclosed,,,,WR/FLEX
119110-28744,RB,Raheem,Raheem Mostert,Mostert,4.72307704,13,5000,LV@NE,LV,NE,,,,,,RB/FLEX
119110-152655,WR,Emeka,Emeka Egbuka,Egbuka,,0,5000,TB@ATL,TB,ATL,,,,,,WR/FLEX
119110-103587,TE,Brenton,Brenton Strange,Strange,5.07857132,14,5000,CAR@JAC,JAC,CAR,,,,,,TE/FLEX
119110-103619,WR,Tre,Tre Tucker,Tucker,6.223529591,17,5000,LV@NE,LV,NE,,,,,,WR/FLEX
119110-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.711111281,18,5000,PIT@NYJ,PIT,NYJ,,,,,,TE/FLEX
